text,true_label,lr_pred,bert_pred,case,lr_confusion_pair,bert_confusion_pair
Venezuela Prepares for Chavez Recall Vote Supporters and rivals warn of possible fraud; government says Chavez's defeat could produce turmoil in world oil market.,World,Business,Business,Both wrong,World -> Business,World -> Business
"Intel to delay product aimed for high-definition TVs SAN FRANCISCO -- In the latest of a series of product delays, Intel Corp. has postponed the launch of a video display chip it had previously planned to introduce by year end, putting off a showdown with Texas Instruments Inc. in the fast-growing market for high-definition television displays.",Business,Sci/Tech,Sci/Tech,Both wrong,Business -> Sci/Tech,Business -> Sci/Tech
Yahoo! Ups Ante for Small Businesses Web giant Yahoo! is gambling that price cuts on its domain name registration and Web hosting products will make it more competitive with discounters in the space -- which means that small businesses looking to move online get a sweeter deal through ...,Business,Sci/Tech,Sci/Tech,Both wrong,Business -> Sci/Tech,Business -> Sci/Tech
"IBM Buys Two Danish Services Firms IBM said Tuesday it has acquired a pair of Danish IT services firms as part of its effort to broaden its presence in Scandinavia. As a result of the moves, IBM will add about 3,700 IT staffers to its global head count. Financial terms of ...",Sci/Tech,Business,Business,Both wrong,Sci/Tech -> Business,Sci/Tech -> Business
"Oil prices bubble to record high The price of oil has continued its sharp rise overnight, closing at a record high. The main contract in New York, light sweet crude for delivery next month, has closed at a record \$US46.75 a barrel - up 70 cents on yesterday #39;s close. ",World,Business,Business,Both wrong,World -> Business,World -> Business
"Intuit Posts Wider Loss After Charge (Reuters) Reuters - Intuit Inc. (INTU.O), maker of\the No. 1 U.S. tax presentation software TurboTax, on Wednesday\posted a wider quarterly loss after taking a goodwill\impairment charge during its seasonally weaker fourth quarter.",Sci/Tech,Business,Business,Both wrong,Sci/Tech -> Business,Sci/Tech -> Business
"Hurricane center #39;s projection on Charley not far off, data show FORT LAUDERDALE, Fla. - (KRT) - Despite criticism that it should have better anticipated Hurricane Charley #39;s rapid intensification and quick turn, the National Hurricane Center #39;s forecast wasn #39;t that far off, a preliminary post-mortem shows. ",Sci/Tech,Business,Business,Both wrong,Sci/Tech -> Business,Sci/Tech -> Business
"Ciena Posts a Loss, Forecasts Flat Sales &lt;p&gt;&lt;/p&gt;&lt;p&gt; By Deborah Cohen&lt;/p&gt;&lt;p&gt; CHICAGO (Reuters) - Telecommunications equipment makerCiena Corp. &lt;CIEN.O&gt; on Thursday reported a wider loss for thefiscal third quarter due to slack demand and forecast sales inthe current quarter would be little changed from the thirdquarter.&lt;/p&gt;",Sci/Tech,Business,World,Both wrong,Sci/Tech -> Business,Sci/Tech -> World
Amazon Snaps Up China's Largest Web Retailer (NewsFactor) NewsFactor - Amazon.com (Nasdaq: AMZN) has said it will buy Joyo.com Limited -- a British Virgin Islands company that operates the largest Internet retail Web site in China -- for US #36;75 million.,Business,Sci/Tech,Sci/Tech,Both wrong,Business -> Sci/Tech,Business -> Sci/Tech
"Italian PM #39;s transplant confirmed After days of speculation sparked by the white bandanna worn by Mr Berlusconi on holiday in Sardinia, Piero Rosati said the results of the operation would show in a couple of months.",World,Business,Sports,Both wrong,World -> Business,World -> Sports
"Glory Comes Amid Empty Seats and Closed Shutters HERE in Old Europe, people install shutters outside their windows to keep out the heat, the pollution, the daylight, the noise. They also lock the shutters tight when they go away on holiday.",Sports,Sci/Tech,World,Both wrong,Sports -> Sci/Tech,Sports -> World
"Salesforce.com 2Q Profit Up Sharply Software developer Salesforce.com Inc. posted a sharp rise in second-quarter profit on better-than-expected revenue during its first quarter as a public company, but investors shunned the stock in late trading ",Sci/Tech,Business,Business,Both wrong,Sci/Tech -> Business,Sci/Tech -> Business
"Unknown Nesterenko Makes World Headlines (Reuters) Reuters - Belarus' Yuliya Nesterenko won the top\women's athletics gold medal at the Olympics on Saturday,\triumphing over a field stripped of many big names because of\doping woes to win the 100 meters.",World,Sports,Sports,Both wrong,World -> Sports,World -> Sports
Greek weightlifter awaits verdict Greek weightlifter Leonidas Sampanis will find out on Sunday if he is to be stripped of his medal.,World,Sports,Sports,Both wrong,World -> Sports,World -> Sports
"Nortel Downsizes Again Aug. 23, 2004 (TheDeal.com) Problem-plagued Nortel Networks Corp. announced plans Thursday, Aug. 19, to eliminate an additional 3,500 jobs and fire seven more senior executives as the company labors to reinvent ",Business,Sci/Tech,Sci/Tech,Both wrong,Business -> Sci/Tech,Business -> Sci/Tech
Chavez rejects CD as opposition Venezuela #39;s President Hugo Chavez has announced that he will no longer recognize the Democratic Coordination or CD as the opposition coalition.,Business,World,World,Both wrong,Business -> World,Business -> World
"Oil Eases as Iraq Resumes Exports &lt;p&gt;\&lt;/p&gt;&lt;p&gt; By Andrew Mitchell&lt;/p&gt;&lt;p&gt; LONDON (Reuters) - High-flying oil prices eased for a\second session on Monday as Iraq resumed exports from both its\northern and southern outlets after lengthy disruption, despite\fierce fighting in the holy city of Najaf.&lt;/p&gt;",Business,World,World,Both wrong,Business -> World,Business -> World
Deal has S2io champing at the gigabit OTTAWA -- A local firm that says it can help shrink backup times at large data centres is growing its business thanks to an alliance with Sun Microsystems Inc.,Business,Sci/Tech,Sci/Tech,Both wrong,Business -> Sci/Tech,Business -> Sci/Tech
Iran shuts reformist websites WEBSITES CLOSE to Iran #39;s leading reformist party have been blocked by religious hardliners in the police bureau of public morals.,Sci/Tech,World,World,Both wrong,Sci/Tech -> World,Sci/Tech -> World
" #39;Somebody please save my dad #39; Nick du Toit #39;s wife and stepdaughter are distraught that there is nothing they can do to help him. On Monday his stepdaughter, Marilise Bezuidenhout, was forced to convey the news of his possible death sentence ",World,Sports,Sports,Both wrong,World -> Sports,World -> Sports
"India's Tata makes powerful debut Shares  in Indian software services giant Tata Consultancy close 16 higher on their market debut, raising \$1.2bn for the company.",World,Business,Business,Both wrong,World -> Business,World -> Business
"MOM 2005 Released to Manufacturing Microsoft on Wednesday announced the release to manufacturing of Microsoft Operations Manager (MOM) 2005 and MOM 2005 Workgroup Edition, a new edition that the company previously called MOM 2005 Express.",Business,Sci/Tech,Sci/Tech,Both wrong,Business -> Sci/Tech,Business -> Sci/Tech
