text,true_label,lr_pred,bert_pred,case,lr_confusion_pair,bert_confusion_pair
"Bush Promotes His Plan for Missile Defense System President Bush, in Pennsylvania, said that opponents of a missile defense system were putting the nation's security at risk.",World,World,Sci/Tech,BERT wrong / LR correct,,World -> Sci/Tech
"Greek sprinters arrive at IOC hearing ATHENS (Reuters) - Greek sprinters Costas Kenteris and Katerina Thanou have arrived at an Athens hotel for an International Olympic Committee (IOC) hearing into their missed doped tests, a saga that has shamed and angered the Olympic host ...",Sports,Sports,World,BERT wrong / LR correct,,Sports -> World
Ross Stores Profit Plummets 40 Percent (AP) AP - Discount retailer Ross Stores Inc. Wednesday said its profit fell about 40 percent in the latest quarter due to problems with a new computer system that limited the company's ability to respond to changes in customer demand.,Business,Business,Sci/Tech,BERT wrong / LR correct,,Business -> Sci/Tech
"Selling Houston Warts and All, Especially Warts Descriptions of urban afflictions and images of giant mosquitoes and cockroaches to convey a sense of how Houston is nevertheless beloved by many residents.",Business,Business,Sci/Tech,BERT wrong / LR correct,,Business -> Sci/Tech
"Caterpillar snaps up another remanufacturer of engines PEORIA - Caterpillar Inc. said Wednesday it will acquire a South Carolina remanufacturer of engines and automatic transmissions, increasing its US employment base by 500 people. ",Sci/Tech,Sci/Tech,Business,BERT wrong / LR correct,,Sci/Tech -> Business
"Clicking on Profits The latest data from the US Department of Commerce further bolsters what we have all suspected: E-commerce sales are increasing. Not only might one suspect that consumer confidence has been bolstered since last year, there ...",Business,Business,Sci/Tech,BERT wrong / LR correct,,Business -> Sci/Tech
"French Take Gold, Bronze in Single Kayak ATHENS, Greece - Winning on whitewater runs in the family for Frenchman Benoit Peschier, though an Olympic gold is something new. Peschier paddled his one-man kayak aggressively but penalty free in both his semifinal and final runs on the manmade Olympic ...",Sports,Sports,World,BERT wrong / LR correct,,Sports -> World
"Crude Price Spike May Send Gas Higher (AP) AP - Amid soaring crude oil prices, gasoline costs have been dropping. But don't expect that to last, economists say.",World,World,Business,BERT wrong / LR correct,,World -> Business
"Wall St.'s Nest Egg - the Housing Sector  NEW YORK (Reuters) - If there were any doubts that we're  still living in the era of the stay-at-home economy, the rows  of empty seats at the Athens Olympics should help erase them.",Business,Business,Sports,BERT wrong / LR correct,,Business -> Sports
"Students Pay More for Beer Than Books British students spend about \$1.8 billion on drink every year, nearly three times as much as they cough up for books, a survey released on Monday showed.",Business,Business,World,BERT wrong / LR correct,,Business -> World
"Dark arts of spin evident in phoney war for Abbey THE phoney war over the fate of Abbey grinds on. Along the way, on all sides, it is producing its predictable crop of knowing winks and destabilising nudges.",Business,Business,Sports,BERT wrong / LR correct,,Business -> Sports
